Name;Year;Publisher;Genre;women_percentage;men_percentage;Platform;Console_Name;Manufacturer;Release_Year;Sales;Type;NA_Sales;EU_Sales;JP_Sales;Other_Sales
Super Mario 64;1996;Nintendo;Platform;0,25;0,75;N64;Nintendo 64;Nintendo;1996;32,93;Home;6,91;2,85;1,91;0,23
Gran Turismo 3: A-Spec;2001;Sony Computer Entertainment;Racing;0,06;0,94;PS2;PlayStation 2;Sony;2000;155;Home;6,85;5,09;1,87;1,16
Halo 2;2004;Microsoft Game Studios;Shooter;0,055;0,945;XB;Xbox;Microsoft;2001;24;Home;6,82;1,53;0,05;0,08
Grand Theft Auto IV;2008;Take-Two Interactive;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;6,76;3,1;0,14;1,03
Super Smash Bros. Brawl;2008;Nintendo;Fighting;0,134;0,866;Wii;Wii;Nintendo;2006;101,63;Home;6,75;2,61;2,66;1,02
Call of Duty: Ghosts;2013;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;6,72;2,63;0,04;0,82
Halo 4;2012;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;6,63;2,36;0,04;0,73
Pokemon Diamond/Pokemon Pearl;2006;Nintendo;Role-Playing;0,26;0,74;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;6,42;4,52;6,04;1,37
Super Mario Galaxy;2007;Nintendo;Platform;0,25;0,75;Wii;Wii;Nintendo;2006;101,63;Home;6,16;3,4;1,2;0,76
Super Mario Land 2: 6 Golden Coins;1992;Nintendo;Adventure;0,36;0,64;GB;Game Boy;Nintendo;1989;118,69;Handheld;6,16;2,04;2,69;0,29
Pokemon Ruby/Pokemon Sapphire;2002;Nintendo;Role-Playing;0,26;0,74;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;6,06;3,9;5,38;0,5
Just Dance 3;2011;Ubisoft;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;6,05;3,15;0;1,07
Super Mario All-Stars;1993;Nintendo;Platform;0,25;0,75;SNES;Super Nintendo Entertainment System;Nintendo;1990;49,1;Home;5,99;2,15;2,12;0,29
Call of Duty: Black Ops;2010;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;5,98;4,44;0,48;1,83
Call of Duty 4: Modern Warfare;2007;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;5,91;2,38;0,13;0,9
Just Dance 2;2010;Ubisoft;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;5,84;2,89;0,01;0,78
GoldenEye 007;1997;Nintendo;Shooter;0,055;0,945;N64;Nintendo 64;Nintendo;1996;32,93;Home;5,8;2,01;0,13;0,15
Call of Duty: Black Ops 3;2015;Activision;Shooter;0,055;0,945;PS4;PlayStation 4;Sony;2013;108,9;Home;5,77;5,81;0,35;2,31
Minecraft;2013;Microsoft Game Studios;Misc;0,38;0,62;X360;Xbox 360;Microsoft;2005;84;Home;5,58;2,83;0,02;0,77
Pokemon Black/Pokemon White;2010;Nintendo;Role-Playing;0,26;0,74;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;5,57;3,28;5,65;0,82
Mario Kart 64;1996;Nintendo;Racing;0,06;0,94;N64;Nintendo 64;Nintendo;1996;32,93;Home;5,55;1,94;2,23;0,15
Call of Duty: Modern Warfare 3;2011;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;5,54;5,82;0,49;1,62
Super Mario Bros. 2;1988;Nintendo;Platform;0,25;0,75;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;5,39;1,18;0,7;0,19
Pokemon X/Pokemon Y;2013;Nintendo;Role-Playing;0,26;0,74;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;5,17;4,05;4,34;0,79
Super Mario 64;2004;Nintendo;Platform;0,25;0,75;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;5,08;3,11;1,25;0,98
The Elder Scrolls V: Skyrim;2011;Bethesda Softworks;Role-Playing;0,26;0,74;X360;Xbox 360;Microsoft;2005;84;Home;5,03;2,86;0,1;0,85
Call of Duty: Black Ops II;2012;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;4,99;5,88;0,65;2,52
Call of Duty: Modern Warfare 2;2009;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;4,99;3,69;0,38;1,63
Halo: Combat Evolved;2001;Microsoft Game Studios;Shooter;0,055;0,945;XB;Xbox;Microsoft;2001;24;Home;4,98;1,3;0,08;0,07
Super Mario 3D Land;2011;Nintendo;Platform;0,25;0,75;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;4,89;2,99;2,13;0,78
Call of Duty: World at War;2008;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;4,79;1,9;0;0,69
Grand Theft Auto IV;2008;Take-Two Interactive;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;4,76;3,76;0,44;1,62
Brain Age: Train Your Brain in Minutes a Day;2005;Nintendo;Misc;0,38;0,62;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;4,75;9,26;4,16;2,05
Mario Kart 7;2011;Nintendo;Racing;0,06;0,94;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;4,74;3,91;2,67;0,89
Call of Duty: Black Ops 3;2015;Activision;Shooter;0,055;0,945;XOne;Xbox One;Microsoft;2013;46,9;Home;4,52;2,09;0,01;0,67
Sonic the Hedgehog 2;1992;Sega;Platform;0,25;0,75;GEN;Sega Genesis;Sega;1988;35;Home;4,47;1,2;0,16;0,19
Battlefield 3;2011;Electronic Arts;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;4,46;2,13;0,06;0,69
Mario Party DS;2007;Nintendo;Misc;0,38;0,62;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;4,46;1,88;1,98;0,7
Super Smash Bros. Melee;2001;Nintendo;Fighting;0,134;0,866;GC;GameCube;Nintendo;2001;21,74;Home;4,41;1,04;1,39;0,22
Pokemon HeartGold/Pokemon SoulSilver;2009;Nintendo;Action;0,18;0,82;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;4,4;2,77;3,96;0,77
Donkey Kong Country;1994;Nintendo;Platform;0,25;0,75;SNES;Super Nintendo Entertainment System;Nintendo;1990;49,1;Home;4,36;1,71;3;0,23
Halo 3: ODST;2009;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;4,34;1,35;0,06;0,61
Pokemon FireRed/Pokemon LeafGreen;2004;Nintendo;Role-Playing;0,26;0,74;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;4,34;2,65;3,15;0,35
Pokemon Omega Ruby/Pokemon Alpha Sapphire;2014;Nintendo;Role-Playing;0,26;0,74;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;4,23;3,37;3,08;0,65
Pitfall!;1981;Activision;Platform;0,25;0,75;2600;Atari 2600;Atari;1977;30;Home;4,21;0,24;0;0,05
Madden NFL 2005;2004;Electronic Arts;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;4,18;0,26;0,01;0,08
Gears of War 2;2008;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;4,15;1,92;0,06;0,64
Just Dance 4;2012;Ubisoft;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;4,14;2,21;0;0,56
Mario Kart: Double Dash!!;2003;Nintendo;Racing;0,06;0,94;GC;GameCube;Nintendo;2001;21,74;Home;4,12;1,77;0,87;0,19
The Legend of Zelda: Ocarina of Time;1998;Nintendo;Action;0,18;0,82;N64;Nintendo 64;Nintendo;1996;32,93;Home;4,1;1,89;1,45;0,16
Call of Duty: Ghosts;2013;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;4,09;3,73;0,38;1,38
Gears of War 3;2011;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;4,05;1,62;0,07;0,49
Half-Life;1997;Vivendi Games;Shooter;0,055;0,945;PC;Personal Computer;Computer;1975;999,99;Home;4,03;0;0,09;0
Gran Turismo;1997;Sony Computer Entertainment;Racing;0,06;0,94;PS;PlayStation;Sony;1994;102,49;Home;4,02;3,87;2,54;0,52
Super Mario Sunshine;2002;Nintendo;Platform;0,25;0,75;GC;GameCube;Nintendo;2001;21,74;Home;4,01;1,26;0,87;0,17
Asteroids;1980;Atari;Shooter;0,055;0,945;2600;Atari 2600;Atari;1977;30;Home;4;0,26;0;0,05
Madden NFL 06;2005;Electronic Arts;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;3,98;0,26;0,01;0,66
Kinect Sports;2010;Microsoft Game Studios;Sports;0,02;0,98;X360;Xbox 360;Microsoft;2005;84;Home;3,92;1,78;0,03;0,51
Gran Turismo 2;1999;Sony Computer Entertainment;Racing;0,06;0,94;PS;PlayStation;Sony;1994;102,49;Home;3,88;3,42;1,69;0,5
The Legend of Zelda: Twilight Princess;2006;Nintendo;Action;0,18;0,82;Wii;Wii;Nintendo;2006;101,63;Home;3,83;2,19;0,6;0,7
Guitar Hero II;2006;RedOctane;Misc;0,38;0,62;PS2;PlayStation 2;Sony;2000;155;Home;3,81;0,63;0;0,68
Mario Party 8;2007;Nintendo;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;3,81;2,3;1,58;0,73
Grand Theft Auto V;2014;Take-Two Interactive;Action;0,18;0,82;PS4;PlayStation 4;Sony;2013;108,9;Home;3,8;5,81;0,36;2,02
Frogger;1997;Hasbro Interactive;Action;0,18;0,82;PS;PlayStation;Sony;1994;102,49;Home;3,79;0,27;0;0,11
Crash Bandicoot 2: Cortex Strikes Back;1997;Sony Computer Entertainment;Platform;0,25;0,75;PS;PlayStation;Sony;1994;102,49;Home;3,78;2,17;1,31;0,31
The Legend of Zelda;1986;Nintendo;Action;0,18;0,82;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;3,74;0,93;1,69;0,14
Red Dead Redemption;2010;Take-Two Interactive;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;3,7;1,97;0,09;0,57
Crash Bandicoot 3: Warped;1998;Sony Computer Entertainment;Platform;0,25;0,75;PS;PlayStation;Sony;1994;102,49;Home;3,68;1,75;1,42;0,28
LEGO Star Wars: The Complete Saga;2007;LucasArts;Action;0,18;0,82;Wii;Wii;Nintendo;2006;101,63;Home;3,66;1,63;0;0,53
New Super Mario Bros. 2;2012;Nintendo;Platform;0,25;0,75;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;3,66;3,07;2,47;0,63
Super Mario Galaxy 2;2010;Nintendo;Platform;0,25;0,75;Wii;Wii;Nintendo;2006;101,63;Home;3,66;2,42;0,98;0,64
Kingdom Hearts;2002;Sony Computer Entertainment;Role-Playing;0,26;0,74;PS2;PlayStation 2;Sony;2000;155;Home;3,64;1,2;1,49;0,07
Madden NFL 07;2006;Electronic Arts;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;3,63;0,24;0,01;0,61
Fable III;2010;Microsoft Game Studios;Role-Playing;0,26;0,74;X360;Xbox 360;Microsoft;2005;84;Home;3,59;1,11;0,05;0,38
Gears of War;2006;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;3,54;1,9;0,07;0,6
Super Mario Kart;1992;Nintendo;Racing;0,06;0,94;SNES;Super Nintendo Entertainment System;Nintendo;1990;49,1;Home;3,54;1,24;3,81;0,18
Just Dance;2009;Ubisoft;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;3,51;3,03;0;0,73
Zumba Fitness;2010;505 Games;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;3,5;2,64;0;0,67
Guitar Hero III: Legends of Rock;2007;Activision;Misc;0,38;0,62;PS2;PlayStation 2;Sony;2000;155;Home;3,49;0,01;0,01;1,48
Brain Age 2: More Training in Minutes a Day;2005;Nintendo;Puzzle;0,42;0,58;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;3,44;5,36;5,32;1,18
Tony Hawk's Pro Skater;1999;Activision;Sports;0,02;0,98;PS;PlayStation;Sony;1994;102,49;Home;3,42;1,38;0,02;0,2
Super Mario Bros.;1999;Nintendo;Platform;0,25;0,75;GB;Game Boy;Nintendo;1989;118,69;Handheld;3,4;1,3;0,15;0,22
Fallout 3;2008;Bethesda Softworks;Role-Playing;0,26;0,74;X360;Xbox 360;Microsoft;2005;84;Home;3,39;1,03;0,09;0,44
Teenage Mutant Ninja Turtles;1989;Palcom;Action;0,18;0,82;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;3,38;0,44;0,31;0,04
Madden NFL 2003;2002;Electronic Arts;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;3,36;0,21;0,01;0,56
Spyro the Dragon;1998;Sony Computer Entertainment;Platform;0,25;0,75;PS;PlayStation;Sony;1994;102,49;Home;3,36;1,36;0,07;0,21
Donkey Kong 64;1999;Nintendo;Platform;0,25;0,75;N64;Nintendo 64;Nintendo;1996;32,93;Home;3,33;0,79;1,09;0,06
Assassin's Creed;2007;Ubisoft;Adventure;0,36;0,64;X360;Xbox 360;Microsoft;2005;84;Home;3,28;1,65;0,07;0,55
Need for Speed Underground;2003;Electronic Arts;Racing;0,06;0,94;PS2;PlayStation 2;Sony;2000;155;Home;3,27;2,83;0,08;1,02
Tekken 3;1998;Sony Computer Entertainment;Fighting;0,134;0,866;PS;PlayStation;Sony;1994;102,49;Home;3,27;2,22;1,4;0,29
Uncharted 2: Among Thieves;2009;Sony Computer Entertainment;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;3,27;2,25;0,21;1
Donkey Kong Country Returns;2010;Nintendo;Platform;0,25;0,75;Wii;Wii;Nintendo;2006;101,63;Home;3,25;1,84;1,03;0,47
Super Smash Bros. for Wii U and 3DS;2014;Nintendo;Fighting;0,134;0,866;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;3,24;1,35;2,42;0,43
Crash Bandicoot;1996;Sony Computer Entertainment;Platform;0,25;0,75;PS;PlayStation;Sony;1994;102,49;Home;3,23;2,35;0,94;0,3
Microsoft Flight Simulator;1996;Microsoft Game Studios;Simulation;0,69;0,31;PC;Personal Computer;Computer;1975;999,99;Home;3,22;1,69;0;0,2
Call of Duty: Advanced Warfare;2014;Activision;Shooter;0,055;0,945;XOne;Xbox One;Microsoft;2013;46,9;Home;3,21;1,53;0,01;0,38
Super Mario World;2001;Nintendo;Platform;0,25;0,75;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;3,21;1,11;0,95;0,2
Guitar Hero III: Legends of Rock;2007;Activision;Misc;0,38;0,62;X360;Xbox 360;Microsoft;2005;84;Home;3,19;0,92;0,01;0,42
Metal Gear Solid;1998;Konami Digital Entertainment;Action;0,18;0,82;PS;PlayStation;Sony;1994;102,49;Home;3,18;1,83;0,78;0,24
Pokemon Stadium;1999;Nintendo;Strategy;0,09;0,91;N64;Nintendo 64;Nintendo;1996;32,93;Home;3,18;1,24;0,94;0,09
Super Mario Advance;2001;Nintendo;Platform;0,25;0,75;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;3,14;1,24;0,91;0,2
Assassin's Creed III;2012;Ubisoft;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;3,13;1,71;0,03;0,44
Cooking Mama;2006;505 Games;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;3,13;1,94;0,07;0,58
Mario Kart 8;2014;Nintendo;Racing;0,06;0,94;WiiU;Wii U;Nintendo;2012;13,56;Home;3,13;2,07;1,27;0,49
Driver;1999;GT Interactive;Action;0,18;0,82;PS;PlayStation;Sony;1994;102,49;Home;3,11;2,8;0,02;0,33
Assassin's Creed II;2009;Ubisoft;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;3,1;1,56;0,08;0,51
Call of Duty 4: Modern Warfare;2007;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;3,1;2,3;0,28;1,04
Guitar Hero III: Legends of Rock;2007;Activision;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;3,06;1,12;0;0,44
Link's Crossbow Training;2007;Nintendo;Shooter;0,055;0,945;Wii;Wii;Nintendo;2006;101,63;Home;3,06;1,18;0,29;0,46
Tony Hawk's Pro Skater 2;2000;Activision;Sports;0,02;0,98;PS;PlayStation;Sony;1994;102,49;Home;3,05;1,41;0,02;0,2
Sonic the Hedgehog;1991;Sega;Platform;0,25;0,75;GEN;Sega Genesis;Sega;1988;35;Home;3,03;0,91;0,26;0,13
Pokemon Pinball;1999;Nintendo;Misc;0,38;0,62;GB;Game Boy;Nintendo;1989;118,69;Handheld;3,02;1,12;1,01;0,16
Final Fantasy VII;1997;Sony Computer Entertainment;Role-Playing;0,26;0,74;PS;PlayStation;Sony;1994;102,49;Home;3,01;2,47;3,28;0,96
Gran Turismo 4;2004;Sony Computer Entertainment;Racing;0,06;0,94;PS2;PlayStation 2;Sony;2000;155;Home;3,01;0,01;1,1;7,53
Namco Museum;2001;Namco Bandai Games;Misc;0,38;0,62;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;3;1,11;0,05;0,07
Batman: Arkham City;2011;Warner Bros. Interactive Entertainment;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;2,99;1,31;0,04;0,41
Forza Motorsport 3;2009;Microsoft Game Studios;Racing;0,06;0,94;X360;Xbox 360;Microsoft;2005;84;Home;2,99;1,92;0,1;0,51
Tetris;1988;Nintendo;Puzzle;0,42;0,58;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;2,97;0,69;1,81;0,11
Gran Turismo 5;2010;Sony Computer Entertainment;Racing;0,06;0,94;PS3;PlayStation 3;Sony;2006;87,4;Home;2,96;4,88;0,81;2,12
Super Smash Bros.;1999;Nintendo;Fighting;0,134;0,866;N64;Nintendo 64;Nintendo;1996;32,93;Home;2,95;0,6;1,97;0,04
Medal of Honor: Frontline;2002;Electronic Arts;Shooter;0,055;0,945;PS2;PlayStation 2;Sony;2000;155;Home;2,93;2,75;0,17;0,99
Star Wars Battlefront (2015);2015;Electronic Arts;Shooter;0,055;0,945;PS4;PlayStation 4;Sony;2013;108,9;Home;2,93;3,29;0,22;1,23
Super Mario Bros. 3;2003;Nintendo;Platform;0,25;0,75;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;2,93;1,25;0,83;0,2
Diddy Kong Racing;1997;Nintendo;Racing;0,06;0,94;N64;Nintendo 64;Nintendo;1996;32,93;Home;2,91;0,99;0,89;0,1
Final Fantasy X;2001;Sony Computer Entertainment;Role-Playing;0,26;0,74;PS2;PlayStation 2;Sony;2000;155;Home;2,91;2,07;2,73;0,33
Pokemon Black 2/Pokemon White 2;2012;Nintendo;Role-Playing;0,26;0,74;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;2,91;1,86;3,14;0,43
Grand Theft Auto: Liberty City Stories;2005;Take-Two Interactive;Action;0,18;0,82;PSP;PlayStation Portable;Sony;2004;80;Handheld;2,9;2,83;0,24;1,75
LEGO Star Wars: The Complete Saga;2007;LucasArts;Action;0,18;0,82;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;2,89;1,54;0;0,46
Battlefield 3;2011;Electronic Arts;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;2,85;2,93;0,35;1,1
Assassin's Creed: Brotherhood;2010;Ubisoft;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;2,84;0,39;0,03;0,24
The Elder Scrolls IV: Oblivion;2006;Take-Two Interactive;Role-Playing;0,26;0,74;X360;Xbox 360;Microsoft;2005;84;Home;2,82;1,05;0,13;0,4
Call of Duty: Advanced Warfare;2014;Activision;Shooter;0,055;0,945;PS4;PlayStation 4;Sony;2013;108,9;Home;2,8;3,3;0,14;1,37
LittleBigPlanet;2008;Sony Computer Entertainment;Platform;0,25;0,75;PS3;PlayStation 3;Sony;2006;87,4;Home;2,8;2,05;0,17;0,9
Red Dead Redemption;2010;Take-Two Interactive;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;2,79;2,61;0,17;1,03
Warzone 2100;1999;Eidos Interactive;Strategy;0,09;0,91;PS;PlayStation;Sony;1994;102,49;Home;2,79;1,89;0;0,33
Star Fox 64;1997;Nintendo;Shooter;0,055;0,945;N64;Nintendo 64;Nintendo;1996;32,93;Home;2,78;0,58;0,64;0,04
Uncharted 3: Drake's Deception;2011;Sony Computer Entertainment;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;2,77;2,8;0,19;1,06
Call of Duty: Advanced Warfare;2014;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;2,75;1,18;0;0,37
God of War III;2010;Sony Computer Entertainment;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;2,74;1,36;0,12;0,63
Call of Duty: World at War;2008;Activision;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;2,72;1,87;0;0,84
God of War;2005;Sony Computer Entertainment;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;2,71;1,29;0,02;0,43
Kirby's Dream Land;1992;Nintendo;Platform;0,25;0,75;GB;Game Boy;Nintendo;1989;118,69;Handheld;2,71;0,61;1,7;0,11
Need for Speed Underground 2;2004;Electronic Arts;Racing;0,06;0,94;PS2;PlayStation 2;Sony;2000;155;Home;2,71;3,02;0,08;1,09
Spider-Man: The Movie;2002;Activision;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;2,71;1,51;0,03;0,23
Batman: Arkham City;2011;Warner Bros. Interactive Entertainment;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;2,7;1,91;0,11;0,8
Left 4 Dead 2;2009;Electronic Arts;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;2,67;0,89;0,05;0,37
Michael Jackson: The Experience;2010;Ubisoft;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;2,67;1,35;0,01;0,39
Grand Theft Auto V;2014;Take-Two Interactive;Action;0,18;0,82;XOne;Xbox One;Microsoft;2013;46,9;Home;2,66;2,01;0;0,41
Left 4 Dead;2008;Electronic Arts;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;2,66;0,5;0,05;0,3
Tony Hawk's Pro Skater 3;2001;Activision;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;2,66;1,29;0,01;0,46
